Start.time,Stop.time,Query,Query.complexity,Role,Action,Transcript,Notes,Query.counter,File.name
00:02.7,00:11.6,Where does cinnamon come from?,remember,A_User,A:Initial information request,In which countries... in which european countries... do they grow cinnamon,,1,2 - 1 June - 9.30am - Synchronized Clip.txt
00:40.9,00:51.9,Where does cinnamon come from?,remember,B_Receiver,B:SERP without modification,There is a bunch or results and the first one is Wikipedia uhm... which just talks about cinnamon but the next one talks about the top 5 uhm cinnamon producing countries,"Reads titles from first 2 search results, no modification",2,2 - 1 June - 9.30am - Synchronized Clip.txt
06:34.3,06:47.6,Airport Security,analyze,A_User,A:Initial information request,Can you type in... uhm...effective effectiveness of new security measures at airports,,1,2 - 1 June - 9.30am - Synchronized Clip.txt
06:58.0,07:02.8,Airport Security,analyze,B_Receiver,B:Query refinement offer,Australia or at the airport,,2,2 - 1 June - 9.30am - Synchronized Clip.txt
07:02.9,07:08.2,Airport Security,analyze,A_User,A:Intent clarification,put uhm... put international airports,,3,2 - 1 June - 9.30am - Synchronized Clip.txt
17:24.0,17:36.1,Outsource job India,understand,A_User,A:Initial information request,What US jobs have been outsourced to India,,1,2 - 1 June - 9.30am - Synchronized Clip.txt
17:50.2,17:52.7,Outsource job India,understand,B_Receiver,B:Query refinement offer,Can I put in united states,,2,2 - 1 June - 9.30am - Synchronized Clip.txt
17:52.7,17:53.2,Outsource job India,understand,A_User,A:Confirms,yeah,,3,2 - 1 June - 9.30am - Synchronized Clip.txt
00:14.6,01:18.6,"recycle, automobile tires",understand,A_User,A:Initial information request,Uses for old car then the query or... passenger vehicle tyres... T Y R E S or... in caps tires... T I R E S... and I wanna uhm... do a date range so the data is from a recent 12 months... so uses for old car caps or passenger vehicle or tyres T Y R E S caps or tires T I R E S and data in the last 12 months that's the query,,1,3 - 9 June - 9.30am - Synchronized Clip.txt
01:19.2,02:27.4,"recycle, automobile tires",understand,B_Receiver,B:SERP without modification,So far from the last 12 months I... first results is second hand tyres in Sydney uhm‰Û_ from a wreckers the second result is compare tyres from drive.com.au uhm... the third result is uhm... an other wreckers in Brisbane used tyres in Frankston is the fourth result wheel and rim profiles of passenger cars tyre size calculator uhm... then there is the car bible uhm wheel and tyre bible which looks like it is everything you need to know about wheels and tyres from cars... the next one is beaurepaires... so an other tyres sales place... uhm one used car pick the tyres uhm... what damage does a car suffer if not refually used on a forum and then the last result is Bridgestone pricing,"Reads all search results, mainly titles",2,3 - 9 June - 9.30am - Synchronized Clip.txt
