"","Start_time","Stop_time","Query","Query_complexity","Role","Sub_themes","Code","Query_counter","Transcript","Actor_pair"
"1","00:00:02.710","00:00:11.550","Where does cinnamon come from?","remember","Seeker","Information Request","A:Initial information request",1,"In which countries... in which European countries do they grow cinnamon?","1"
"2","00:00:40.880","00:00:51.920","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:SERP without modification",2,"There's a bunch of results have come but first one is Wikipedia uhm which just talks about cinnamon but the next one talks about the top five uhm cinnamon producing countries","1"
"3","00:00:52.600","00:01:01.520","Where does cinnamon come from?","remember","Seeker","Navigation + Information Request","A:Access source + Information request within document",3,"OK so in the top five in the second search result is one of those top five countries a European country?","1"
"4","00:01:02.300","00:01:11.760","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:Within-Document search result",4,"I'll just go in and have a look uhm no so we've got Indonesia, China, Vietnam, Sri Lanka and Madagascar so I can back","1"
"5","00:01:12.460","00:01:28.620","Where does cinnamon come from?","remember","Seeker","Navigation + Information Request","A:Access source + Information request within document",5,"Can you just check in the Wikipedia, so open the Wikipedia page and maybe just scan uhm about where cinnamon is grown or where it has been migrated to","1"
"6","00:01:28.920","00:03:02.700","Where does cinnamon come from?","remember","Intermediary","Results Presentation + Search Assistance","B:Within-Document search result + Relevance judgement",6,"Basically the definition of the word comes up and it says it is derivative from uhm Greek and French. The Greek borrowed it from oh my goodness, venus something rather word which is akin to hebrew uhm... the history... it doesn't, uhm, it says types of cinnamon are distinguished from Sri Lanka, North India, China uhm and then so the closest in, it's getting close to Europe uhm, the bark in Arab and Ethiopia, Egypt, Burma, Madagascar uhm... it talks about the Bible, different places, keep going, keep going, Middle Ages, Ethiopia, Marco Polo uhm OK so we're getting better. Uhm, still Sri Lanka though East Africa uhm, Phillipines, Mexico... cultivation, it talks about Madagascar, grading Sri Lanka species and different types of species, still no nothing European... yes I just don't think that there's","1"
"7","00:03:02.740","00:03:12.540","Where does cinnamon come from?","remember","Seeker","Information Request","A:Information request",7,"OK can you just then type in uhm, the search phrase European cinnamon biscuits","1"
"8","00:03:41.940","00:04:11.540","Where does cinnamon come from?","remember","Intermediary","Results Presentation","B:SERP without modification",8,"OK the first thing that came up is European biscuit the gourmet merchant biscuits cookies then we've got Biscoff gourmet cookies and spread Europe's favourite cookie with with with something or rather uhm, buy gourmet cookies list of cookies Wikipedia European cookies, cinnamon sugar spice, cinnamon sugar spice that's what our classic Belgian biscuits are made off, European best biscuits cookies","1"
"9","00:04:12.540","00:04:23.940","Where does cinnamon come from?","remember","Seeker","Navigation","A:Access source",9,"So if you uhm, look into one of the ones of the Belgian cookies or whichever country with cinnamon was it cinnamon sugar and spice?","1"
"10","00:04:24.040","00:04:45.540","Where does cinnamon come from?","remember","Intermediary","Results Presentation + Results Presentation","B:SERP without modification + Interpretation",10,"Yeah ok, so I have LU european biscuits cinnamon sugar spice Wegmans and cinnamon sugar and spice that's what our classic Belgian biscuits are made of, we bake these richly flavoured cinnamon biscuits to be extra crisp with a special, so I think it is a type of biscuits so it is like Arnotts","1"
