Start.time,Stop.time,Query,Query.complexity,Role,Action,Transcript,Query.counter,File.name
00:02.7,00:11.6,Where does cinnamon come from?,remember,A_User,A:Initial information request,In which countries... in which European countries do they grow cinnamon?,1,2 - 1 June - 9.30am - Synchronized Clip.txt
00:40.9,00:51.9,Where does cinnamon come from?,remember,B_Receiver,B:SERP without modification,There's a bunch of results have come but first one is Wikipedia uhm which just talks about cinnamon but the next one talks about the top five uhm cinnamon producing countries,2,2 - 1 June - 9.30am - Synchronized Clip.txt
00:52.6,01:01.5,Where does cinnamon come from?,remember,A_User,A:Access source + Information request within document,OK so in the top five in the second search result is one of those top five countries a European country?,3,2 - 1 June - 9.30am - Synchronized Clip.txt
01:02.3,01:11.8,Where does cinnamon come from?,remember,B_Receiver,B:Within-Document search result,"I'll just go in and have a look uhm no so we've got Indonesia, China, Vietnam, Sri Lanka and Madagascar so I can back",4,2 - 1 June - 9.30am - Synchronized Clip.txt
01:12.5,01:28.6,Where does cinnamon come from?,remember,A_User,A:Access source + Information request within document,"Can you just check in the Wikipedia, so open the Wikipedia page and maybe just scan uhm about where cinnamon is grown or where it has been migrated to",5,2 - 1 June - 9.30am - Synchronized Clip.txt
01:28.9,03:02.7,Where does cinnamon come from?,remember,B_Receiver,B:Within-Document search result + Relevance judgement,"Basically the definition of the word comes up and it says it is derivative from uhm Greek and French. The Greek borrowed it from oh my goodness, venus something rather word which is akin to hebrew uhm... the history... it doesn't, uhm, it says types of cinnamon are distinguished from Sri Lanka, North India, China uhm and then so the closest in, it's getting close to Europe uhm, the bark in Arab and Ethiopia, Egypt, Burma, Madagascar uhm... it talks about the Bible, different places, keep going, keep going, Middle Ages, Ethiopia, Marco Polo uhm OK so we're getting better. Uhm, still Sri Lanka though East Africa uhm, Phillipines, Mexico... cultivation, it talks about Madagascar, grading Sri Lanka species and different types of species, still no nothing European... yes I just don't think that there's",6,2 - 1 June - 9.30am - Synchronized Clip.txt
03:02.7,03:12.5,Where does cinnamon come from?,remember,A_User,A:Information request,"OK can you just then type in uhm, the search phrase European cinnamon biscuits",7,2 - 1 June - 9.30am - Synchronized Clip.txt
03:41.9,04:11.5,Where does cinnamon come from?,remember,B_Receiver,B:SERP without modification,"OK the first thing that came up is European biscuit the gourmet merchant biscuits cookies then we've got Biscoff gourmet cookies and spread Europe's favourite cookie with with with something or rather uhm, buy gourmet cookies list of cookies Wikipedia European cookies, cinnamon sugar spice, cinnamon sugar spice that's what our classic Belgian biscuits are made off, European best biscuits cookies",8,2 - 1 June - 9.30am - Synchronized Clip.txt
04:12.5,04:23.9,Where does cinnamon come from?,remember,A_User,A:Access source,"So if you uhm, look into one of the ones of the Belgian cookies or whichever country with cinnamon was it cinnamon sugar and spice?",9,2 - 1 June - 9.30am - Synchronized Clip.txt
04:24.0,04:45.5,Where does cinnamon come from?,remember,B_Receiver,B:SERP without modification + Interpretation,"Yeah ok, so I have LU european biscuits cinnamon sugar spice Wegmans and cinnamon sugar and spice that's what our classic Belgian biscuits are made of, we bake these richly flavoured cinnamon biscuits to be extra crisp with a special, so I think it is a type of biscuits so it is like Arnotts",10,2 - 1 June - 9.30am - Synchronized Clip.txt
